Número de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 235230
Palabra: affairs Frec: 9 lnProb: -10.17
Palabra: affect Frec: 38 lnProb: -8.81
Palabra: affected Frec: 106 lnProb: -7.8
Palabra: affecting Frec: 38 lnProb: -8.81
Palabra: affects Frec: 13 lnProb: -9.83
Palabra: affiliate Frec: 6 lnProb: -10.53
Palabra: afford Frec: 74 lnProb: -8.15
Palabra: affordable Frec: 47 lnProb: -8.6
Palabra: afloat Frec: 7 lnProb: -10.39
Palabra: afraid Frec: 22 lnProb: -9.34
Palabra: aftermath Frec: 3 lnProb: -11.08
Palabra: afternoon Frec: 17 lnProb: -9.58
Palabra: ag Frec: 7 lnProb: -10.39
Palabra: agaisnt Frec: 3 lnProb: -11.08
Palabra: age Frec: 49 lnProb: -8.56
Palabra: aged Frec: 11 lnProb: -9.99
Palabra: agencies Frec: 30 lnProb: -9.04
Palabra: agency Frec: 15 lnProb: -9.7
Palabra: agent Frec: 6 lnProb: -10.53
Palabra: agents Frec: 9 lnProb: -10.17
Palabra: ages Frec: 4 lnProb: -10.86
Palabra: ago Frec: 103 lnProb: -7.83
Palabra: agree Frec: 55 lnProb: -8.45
Palabra: agreed Frec: 38 lnProb: -8.81
Palabra: agreement Frec: 13 lnProb: -9.83
Palabra: agreements Frec: 3 lnProb: -11.08
Palabra: agrees Frec: 4 lnProb: -10.86
Palabra: agri Frec: 4 lnProb: -10.86
Palabra: agricultural Frec: 15 lnProb: -9.7
Palabra: agriculture Frec: 18 lnProb: -9.53
Palabra: ahead Frec: 43 lnProb: -8.69
Palabra: ai Frec: 10 lnProb: -10.07
Palabra: aid Frec: 33 lnProb: -8.94
Palabra: aides Frec: 3 lnProb: -11.08
Palabra: aids Frec: 4 lnProb: -10.86
Palabra: aim Frec: 9 lnProb: -10.17
Palabra: aimed Frec: 10 lnProb: -10.07
Palabra: aiming Frec: 4 lnProb: -10.86
Palabra: aims Frec: 8 lnProb: -10.27
Palabra: ain Frec: 3 lnProb: -11.08
Palabra: air Frec: 43 lnProb: -8.69
Palabra: airborne Frec: 6 lnProb: -10.53
Palabra: airline Frec: 8 lnProb: -10.27
Palabra: airlines Frec: 32 lnProb: -8.97
Palabra: airplane Frec: 3 lnProb: -11.08
Palabra: airport Frec: 14 lnProb: -9.76
Palabra: airports Frec: 4 lnProb: -10.86
Palabra: aisle Frec: 44 lnProb: -8.66
Palabra: aisles Frec: 54 lnProb: -8.46
Palabra: aka Frec: 9 lnProb: -10.17
Palabra: al Frec: 9 lnProb: -10.17
Palabra: alarm Frec: 3 lnProb: -11.08
Palabra: alarming Frec: 5 lnProb: -10.68
Palabra: alchohol Frec: 3 lnProb: -11.08
Palabra: alcohol Frec: 168 lnProb: -7.34
Palabra: alcoholic Frec: 6 lnProb: -10.53
Palabra: alcohols Frec: 3 lnProb: -11.08
Palabra: aldi Frec: 3 lnProb: -11.08
Palabra: alert Frec: 66 lnProb: -8.27
Palabra: alerts Frec: 3 lnProb: -11.08
Palabra: alibaba Frec: 3 lnProb: -11.08
Palabra: align Frec: 5 lnProb: -10.68
Palabra: alike Frec: 8 lnProb: -10.27
