Número de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 201117
Palabra: announcement Frec: 19 lnProb: -9.34
Palabra: announcements Frec: 7 lnProb: -10.25
Palabra: announces Frec: 10 lnProb: -9.93
Palabra: announcing Frec: 6 lnProb: -10.39
Palabra: annoyed Frec: 7 lnProb: -10.25
Palabra: annoying Frec: 13 lnProb: -9.69
Palabra: annual Frec: 8 lnProb: -10.13
Palabra: answer Frec: 31 lnProb: -8.87
Palabra: answered Frec: 10 lnProb: -9.93
Palabra: answers Frec: 10 lnProb: -9.93
Palabra: anti Frec: 41 lnProb: -8.59
Palabra: antibacterial Frec: 7 lnProb: -10.25
Palabra: anticipate Frec: 8 lnProb: -10.13
Palabra: anticipating Frec: 6 lnProb: -10.39
Palabra: anxieties Frec: 7 lnProb: -10.25
Palabra: anxiety Frec: 100 lnProb: -7.72
Palabra: anxious Frec: 25 lnProb: -9.07
Palabra: anybody Frec: 10 lnProb: -9.93
Palabra: anymore Frec: 17 lnProb: -9.44
Palabra: apart Frec: 42 lnProb: -8.57
Palabra: apartment Frec: 8 lnProb: -10.13
Palabra: apocalypse Frec: 23 lnProb: -9.15
Palabra: app Frec: 23 lnProb: -9.15
Palabra: appalled Frec: 7 lnProb: -10.25
Palabra: appalling Frec: 13 lnProb: -9.69
Palabra: apparel Frec: 6 lnProb: -10.39
Palabra: apparent Frec: 8 lnProb: -10.13
Palabra: apparently Frec: 25 lnProb: -9.07
Palabra: appeal Frec: 9 lnProb: -10.03
Palabra: appear Frec: 19 lnProb: -9.34
Palabra: appears Frec: 20 lnProb: -9.29
Palabra: apples Frec: 6 lnProb: -10.39
Palabra: apply Frec: 17 lnProb: -9.44
Palabra: appointment Frec: 6 lnProb: -10.39
Palabra: appreciate Frec: 12 lnProb: -9.77
Palabra: appreciation Frec: 7 lnProb: -10.25
Palabra: approach Frec: 15 lnProb: -9.56
Palabra: appropriate Frec: 11 lnProb: -9.85
Palabra: approve Frec: 8 lnProb: -10.13
Palabra: approved Frec: 15 lnProb: -9.56
Palabra: approximately Frec: 7 lnProb: -10.25
Palabra: apps Frec: 17 lnProb: -9.44
Palabra: ar Frec: 7 lnProb: -10.25
Palabra: area Frec: 80 lnProb: -7.94
Palabra: areas Frec: 50 lnProb: -8.4
Palabra: aren Frec: 20 lnProb: -9.29
Palabra: argue Frec: 11 lnProb: -9.85
Palabra: arguing Frec: 10 lnProb: -9.93
Palabra: armed Frec: 8 lnProb: -10.13
Palabra: arms Frec: 8 lnProb: -10.13
Palabra: army Frec: 13 lnProb: -9.69
Palabra: arrest Frec: 19 lnProb: -9.34
Palabra: arrested Frec: 73 lnProb: -8.03
Palabra: arrival Frec: 6 lnProb: -10.39
Palabra: arrive Frec: 8 lnProb: -10.13
Palabra: arrived Frec: 15 lnProb: -9.56
Palabra: arsehole Frec: 6 lnProb: -10.39
Palabra: arseholes Frec: 11 lnProb: -9.85
Palabra: art Frec: 6 lnProb: -10.39
Palabra: article Frec: 55 lnProb: -8.31
Palabra: artificial Frec: 6 lnProb: -10.39
Palabra: artists Frec: 9 lnProb: -10.03
Palabra: asda Frec: 7 lnProb: -10.25
Palabra: ashamed Frec: 40 lnProb: -8.62
Palabra: asia Frec: 6 lnProb: -10.39
Palabra: aside Frec: 15 lnProb: -9.56
Palabra: ask Frec: 70 lnProb: -8.07
Palabra: asked Frec: 98 lnProb: -7.74
Palabra: asking Frec: 76 lnProb: -7.99
Palabra: asks Frec: 15 lnProb: -9.56
Palabra: ass Frec: 68 lnProb: -8.1
Palabra: assault Frec: 7 lnProb: -10.25
Palabra: asses Frec: 6 lnProb: -10.39
Palabra: asset Frec: 14 lnProb: -9.62
Palabra: assets Frec: 16 lnProb: -9.5
Palabra: assholes Frec: 24 lnProb: -9.11
Palabra: assist Frec: 13 lnProb: -9.69
Palabra: assistance Frec: 34 lnProb: -8.78
Palabra: associated Frec: 12 lnProb: -9.77
Palabra: associates Frec: 8 lnProb: -10.13
Palabra: assume Frec: 9 lnProb: -10.03
Palabra: asthma Frec: 19 lnProb: -9.34
Palabra: asymptomatic Frec: 13 lnProb: -9.69
Palabra: ate Frec: 7 lnProb: -10.25
Palabra: attack Frec: 37 lnProb: -8.69
Palabra: attacking Frec: 10 lnProb: -9.93
Palabra: attacks Frec: 23 lnProb: -9.15
Palabra: attempt Frec: 19 lnProb: -9.34
Palabra: attempting Frec: 12 lnProb: -9.77
Palabra: attempts Frec: 7 lnProb: -10.25
Palabra: attend Frec: 7 lnProb: -10.25
Palabra: attendants Frec: 6 lnProb: -10.39
Palabra: attention Frec: 19 lnProb: -9.34
Palabra: attitude Frec: 11 lnProb: -9.85
Palabra: attitudes Frec: 8 lnProb: -10.13
Palabra: attorney Frec: 6 lnProb: -10.39
Palabra: auction Frec: 8 lnProb: -10.13
Palabra: auspol Frec: 19 lnProb: -9.34
Palabra: authorities Frec: 22 lnProb: -9.2
Palabra: authority Frec: 13 lnProb: -9.69
Palabra: auto Frec: 16 lnProb: -9.5
Palabra: avail Frec: 7 lnProb: -10.25
Palabra: availability Frec: 23 lnProb: -9.15
Palabra: available Frec: 168 lnProb: -7.2
Palabra: average Frec: 32 lnProb: -8.83
Palabra: avoid Frec: 192 lnProb: -7.07
Palabra: avoided Frec: 7 lnProb: -10.25
Palabra: avoiding Frec: 37 lnProb: -8.69
Palabra: aware Frec: 52 lnProb: -8.36
Palabra: awareness Frec: 17 lnProb: -9.44
Palabra: away Frec: 161 lnProb: -7.24
Palabra: awful Frec: 18 lnProb: -9.39
Palabra: ayurved Frec: 6 lnProb: -10.39
Palabra: b Frec: 45 lnProb: -8.5
Palabra: babies Frec: 10 lnProb: -9.93
Palabra: baby Frec: 56 lnProb: -8.29
Palabra: bacteria Frec: 10 lnProb: -9.93
Palabra: bacterial Frec: 7 lnProb: -10.25
Palabra: bad Frec: 200 lnProb: -7.03
Palabra: badly Frec: 18 lnProb: -9.39
Palabra: bag Frec: 40 lnProb: -8.62
Palabra: bags Frec: 55 lnProb: -8.31
Palabra: bail Frec: 9 lnProb: -10.03
Palabra: bailout Frec: 23 lnProb: -9.15
Palabra: bailouts Frec: 7 lnProb: -10.25
Palabra: baked Frec: 8 lnProb: -10.13
Palabra: bakery Frec: 8 lnProb: -10.13
Palabra: baking Frec: 6 lnProb: -10.39
Palabra: balance Frec: 10 lnProb: -9.93
Palabra: ball Frec: 6 lnProb: -10.39
Palabra: ban Frec: 50 lnProb: -8.4
Palabra: bandana Frec: 6 lnProb: -10.39
Palabra: bank Frec: 100 lnProb: -7.72
Palabra: bankers Frec: 14 lnProb: -9.62
Palabra: banking Frec: 16 lnProb: -9.5
Palabra: bankrupt Frec: 11 lnProb: -9.85
Palabra: bankruptcy Frec: 9 lnProb: -10.03
Palabra: banks Frec: 175 lnProb: -7.16
Palabra: banned Frec: 27 lnProb: -9.0
Palabra: banning Frec: 7 lnProb: -10.25
Palabra: bans Frec: 8 lnProb: -10.13
Palabra: bar Frec: 14 lnProb: -9.62
Palabra: bare Frec: 66 lnProb: -8.13
Palabra: barely Frec: 12 lnProb: -9.77
Palabra: bargain Frec: 9 lnProb: -10.03
Palabra: barrel Frec: 44 lnProb: -8.52
Palabra: barrels Frec: 16 lnProb: -9.5
Palabra: barren Frec: 7 lnProb: -10.25
Palabra: bars Frec: 25 lnProb: -9.07
Palabra: base Frec: 13 lnProb: -9.69
Palabra: based Frec: 76 lnProb: -7.99
Palabra: basic Frec: 88 lnProb: -7.84
Palabra: basically Frec: 17 lnProb: -9.44
Palabra: basics Frec: 20 lnProb: -9.29
Palabra: basis Frec: 22 lnProb: -9.2
Palabra: basket Frec: 18 lnProb: -9.39
Palabra: baskets Frec: 14 lnProb: -9.62
Palabra: bastard Frec: 10 lnProb: -9.93
Palabra: bastards Frec: 26 lnProb: -9.04
Palabra: bathroom Frec: 10 lnProb: -9.93
Palabra: battered Frec: 7 lnProb: -10.25
Palabra: battle Frec: 41 lnProb: -8.59
Palabra: battles Frec: 8 lnProb: -10.13
Palabra: battling Frec: 15 lnProb: -9.56
Palabra: bay Frec: 13 lnProb: -9.69
Palabra: bbcnews Frec: 9 lnProb: -10.03
Palabra: bbl Frec: 6 lnProb: -10.39
Palabra: bc Frec: 48 lnProb: -8.44
Palabra: beach Frec: 8 lnProb: -10.13
Palabra: beaches Frec: 6 lnProb: -10.39
Palabra: beans Frec: 31 lnProb: -8.87
Palabra: bear Frec: 7 lnProb: -10.25
Palabra: beat Frec: 21 lnProb: -9.24
Palabra: bed Frec: 9 lnProb: -10.03
Palabra: beds Frec: 7 lnProb: -10.25
Palabra: beef Frec: 26 lnProb: -9.04
Palabra: beer Frec: 24 lnProb: -9.11
Palabra: began Frec: 26 lnProb: -9.04
Palabra: begin Frec: 21 lnProb: -9.24
Palabra: beginning Frec: 97 lnProb: -7.75
Palabra: begins Frec: 10 lnProb: -9.93
Palabra: begun Frec: 16 lnProb: -9.5
Palabra: behave Frec: 13 lnProb: -9.69
Palabra: behaving Frec: 16 lnProb: -9.5
Palabra: behavior Frec: 93 lnProb: -7.79
Palabra: behavioral Frec: 6 lnProb: -10.39
Palabra: behaviors Frec: 17 lnProb: -9.44
Palabra: behaviour Frec: 74 lnProb: -8.01
Palabra: behaviours Frec: 6 lnProb: -10.39
Palabra: beings Frec: 9 lnProb: -10.03
Palabra: bekind Frec: 10 lnProb: -9.93
Palabra: believe Frec: 85 lnProb: -7.88
Palabra: believes Frec: 10 lnProb: -9.93
Palabra: benchmark Frec: 9 lnProb: -10.03
Palabra: benefit Frec: 18 lnProb: -9.39
Palabra: benefits Frec: 27 lnProb: -9.0
Palabra: best Frec: 26 lnProb: -9.04
Palabra: bet Frec: 20 lnProb: -9.29
Palabra: better Frec: 83 lnProb: -7.9
Palabra: beverage Frec: 8 lnProb: -10.13
Palabra: beware Frec: 12 lnProb: -9.77
Palabra: bid Frec: 18 lnProb: -9.39
Palabra: bidding Frec: 10 lnProb: -9.93
Palabra: bids Frec: 6 lnProb: -10.39
Palabra: big Frec: 158 lnProb: -7.26
Palabra: bigger Frec: 13 lnProb: -9.69
Palabra: biggest Frec: 64 lnProb: -8.16
Palabra: bike Frec: 6 lnProb: -10.39
Palabra: bill Frec: 41 lnProb: -8.59
Palabra: billion Frec: 50 lnProb: -8.4
Palabra: billionaires Frec: 6 lnProb: -10.39
Palabra: billions Frec: 10 lnProb: -9.93
Palabra: bills Frec: 39 lnProb: -8.64
Palabra: bin Frec: 14 lnProb: -9.62
Palabra: binge Frec: 6 lnProb: -10.39
Palabra: bins Frec: 6 lnProb: -10.39
Palabra: bit Frec: 59 lnProb: -8.24
Palabra: bitch Frec: 26 lnProb: -9.04
Palabra: bites Frec: 7 lnProb: -10.25
Palabra: biz Frec: 9 lnProb: -10.03
Palabra: black Frec: 38 lnProb: -8.67
Palabra: blame Frec: 46 lnProb: -8.48
Palabra: blamed Frec: 8 lnProb: -10.13
Palabra: blaming Frec: 12 lnProb: -9.77
Palabra: bleach Frec: 12 lnProb: -9.77
Palabra: blind Frec: 9 lnProb: -10.03
Palabra: block Frec: 10 lnProb: -9.93
